id_corredor,nombre,zona,nivel,anios_experiencia
1,José López Flores,Paracentral,MID,4.0
2,José Ortiz García,Centro,JUNIOR,0.0
3,María Ramírez Cruz,Centro,SENIOR,6.0
6,Sofía Reyes Hernández,Occidente,ELITE,3.0
8,Paula Ortiz Hernández,Centro,JUNIOR,17.0
9,Carlos Torres Vásquez,Paracentral,JUNIOR,2.0
13,Valeria García Torres,Oriente,SENIOR,23.0
14,Diego Gómez Chávez,Centro,SENIOR,20.0
16,Juan Reyes Morales,Costa,JUNIOR,6.0
18,Paula Pérez Flores,Oriente,MID,23.0
19,Fernanda Ortiz Flores,Centro,SENIOR,12.0
22,Andrés Torres García,Centro,ELITE,19.0
23,Paula Mendoza Flores,Centro,JUNIOR,23.0
25,Andrés Gómez Chávez,Centro,JUNIOR,23.0
27,Carlos Mendoza Torres,Paracentral,MID,11.0
28,Carmen Ortiz Mendoza,Centro,SENIOR,10.0
30,Carlos Cruz Martínez,Paracentral,SENIOR,2.0
31,María Aguilar García,Oriente,MID,21.0
32,Ricardo Ortiz Gómez,Costa,SENIOR,99.0
33,Karla Rojas Ramírez,Paracentral,JUNIOR,9.0
35,Diego García Reyes,Centro,SENIOR,17.0
36,Diego Santos Cruz,Centro,JUNIOR,22.0
38,María Mendoza Cruz,Costa,JUNIOR,15.0
40,Ricardo Rojas Ramírez,Occidente,JUNIOR,21.0
41,Andrés Vásquez Rojas,Centro,ELITE,99.0
42,Juan Hernández Martínez,Centro,JUNIOR,10.0
43,José Cruz Ramírez,Paracentral,SENIOR,14.0
44,Luis Rojas Gómez,Costa,ELITE,7.0
45,María Chávez Ortiz,Occidente,JUNIOR,20.0
46,Fernanda López García,Paracentral,MID,13.0
47,Ricardo Aguilar Ramírez,Centro,JUNIOR,5.0
50,Carlos Ramírez Martínez,Centro,JUNIOR,10.0
53,María Torres García,Paracentral,ELITE,3.0
54,Jorge Cruz Santos,Centro,SENIOR,2.0
56,Marta Cruz Flores,Centro,MID,21.0
57,Carlos Chávez Reyes,Occidente,JUNIOR,14.0
58,Karla Santos Hernández,Occidente,SENIOR,6.0
62,Fernanda Castillo Hernández,Oriente,SENIOR,3.0
63,José Ortiz Pérez,Costa,SENIOR,19.0
64,Sofía Reyes Ramírez,Costa,SENIOR,15.0
66,Juan López Reyes,Oriente,JUNIOR,8.0
67,Carmen Chávez Ortiz,Centro,SENIOR,0.0
69,Jorge Ortiz Pérez,Centro,MID,1.0
71,Diego Hernández Vásquez,Centro,SENIOR,23.0
72,Luis Cruz Gómez,Oriente,ELITE,0.0
73,Carmen Reyes Rojas,Paracentral,SENIOR,5.0
75,Paula Vásquez Castillo,Paracentral,MID,0.0
78,Fernanda Reyes López,Occidente,SENIOR,5.0
79,Jorge Flores Martínez,Occidente,SENIOR,13.0
80,Pedro Reyes Rojas,Occidente,ELITE,18.0
