id_corredor,nombre,zona,nivel,anios_experiencia
4,Fernanda Rojas Cruz,,SENIOR,8.0
5,Ana Gómez Rojas,,SENIOR,4.0
7,Pedro Vásquez Torres,Costa,,1.0
10,Juan Cruz Castillo,Occidente,,7.0
11,José Morales Flores,,JUNIOR,
12,Pedro Gómez Vásquez,,MID,21.0
15,Fernanda Cruz Reyes,Centro,MID,
17,Jorge Reyes Ramírez,,ELITE,20.0
20,Pedro Cruz Pérez,,JUNIOR,24.0
21,Juan Hernández Pérez,Oriente,,21.0
24,José Ortiz Flores,,JUNIOR,9.0
26,Valeria Mendoza Gómez,Occidente,,20.0
29,Ricardo López Hernández,,,25.0
34,Lucía Vásquez Chávez,,JUNIOR,7.0
37,Juan Cruz García,Centro,,10.0
39,Sofía Ortiz Pérez,,MID,25.0
48,Lucía López Morales,Costa,,25.0
49,Paula Castillo Rojas,,MID,6.0
51,Juan Martínez Santos,,SENIOR,99.0
52,Daniela Gómez Martínez,Occidente,,5.0
55,Andrés Santos Santos,,SENIOR,6.0
59,Daniela Flores Pérez,,JUNIOR,7.0
60,Pedro Castillo Gómez,,,17.0
61,Carlos Torres Mendoza,Centro,JUNIOR,
65,Valeria Martínez García,Centro,,8.0
68,José García Pérez,Centro,,11.0
70,Carlos Vásquez Martínez,,MID,21.0
74,José Morales Martínez,,MID,6.0
76,Sofía Morales Reyes,Costa,,2.0
77,Valeria Vásquez Mendoza,Centro,JUNIOR,
